id;telefono;correo;codigo_pais;celular
1;woot consequently thrifty;sweetly so very;merrily beret analogy;what growing
2;pish during;and;SUV second-hand;what
3;hard-to-find;tributary aggravating although;gosh whale gymnast;slime psst
4;yuck clearly cycle;easy disappointment consequently;circular on nifty;shirk innovation carefree
5;harmful;overconfidently supposing;before;loyalty
6;oh;marketplace following too;apropos negligible;newsstand gee merit
7;unless sandy;roasted;freckle or bah;in crowded godfather
8;swiftly;blaspheme athwart;aha wrongly;boohoo annually
9;yet bravely gadzooks;untimely;shovel next;phew archaeology properly
10;quick-witted;bashfully angrily;boldly;wherever calmly perfectly
